,DateTime,CO_ppm,OZONO_ppb,NO_ppb,NO2_ppb,NOX_ppb,Vel_Viento_ms,Dir_Viento_Grados,Temperatura_C,HR
0,1,0.31818,2.163,2.229,12.272,14.502,0.6,249.0,13.2,70.93
1,1,0.26455,3.18,3.191,8.788,11.979,0.5,313.0,12.6,73.43
2,1,0.25779,5.109,3.979,7.99,11.969,0.6,139.0,12.5,72.78
3,1,0.11343,12.035,0.52,2.791,3.311,2.0,107.0,13.5,64.71
4,1,0.1064,11.421,0.365,3.557,3.923,1.1,169.0,12.4,68.11
5,1,0.09962,13.752,0.264,1.815,2.078,1.4,164.0,12.9,66.39
6,1,0.1193,13.598,0.651,2.4,3.051,2.0,122.0,13.7,63.85
7,1,0.11418,15.952,0.786,1.707,2.493,1.6,171.0,16.0,55.09
8,1,0.15734,16.576,1.138,2.32,3.458,1.7,190.0,15.2,57.1
9,1,0.17349,16.847,1.542,2.402,3.945,2.1,198.0,16.5,53.99
10,1,0.11292,17.65,1.118,1.53,2.648,2.4,165.0,16.7,54.46
11,1,0.15292,17.693,1.648,2.004,3.653,2.5,188.0,17.4,51.88
12,1,0.12612,17.237,1.376,1.711,3.087,2.3,164.0,17.5,52.45
13,1,0.14311,16.694,1.555,1.904,3.459,2.2,169.0,18.0,50.53
14,1,0.1506,16.635,1.686,1.962,3.648,2.3,188.0,18.5,49.09
15,1,0.14742,15.896,1.545,2.152,3.696,2.2,189.0,17.2,52.34
16,1,0.12299,15.974,1.057,2.173,3.23,2.2,154.0,15.6,57.19
17,1,0.13632,14.846,1.047,3.025,4.072,2.0,158.0,15.0,58.9
18,1,0.13321,14.202,0.553,3.428,3.98,1.1,170.0,14.0,62.35
19,1,0.13584,13.201,0.636,3.868,4.504,1.2,186.0,13.8,64.31
20,1,0.17173,10.501,0.802,5.721,6.523,1.1,185.0,13.1,68.6
21,1,0.21081,7.718,0.706,7.322,8.028,1.1,215.0,12.5,74.09
22,1,0.23259,5.386,0.546,8.033,8.579,0.4,13.0,11.5,81.55
23,1,0.2499,4.266,1.236,8.454,9.689,0.2,330.0,11.4,83.56
24,2,0.18955,7.042,0.306,5.834,6.139,0.5,188.0,10.8,83.47
25,2,0.18953,8.989,0.283,5.119,5.401,1.2,209.0,11.1,82.96
26,2,0.16095,12.055,0.189,3.785,3.974,1.3,214.0,11.5,78.98
27,2,0.12457,14.833,0.152,1.769,1.921,1.2,219.0,11.7,73.75
28,2,0.12692,13.498,0.265,2.678,2.943,0.9,182.0,11.8,70.88
29,2,0.18876,10.734,0.784,5.716,6.5,0.8,236.0,11.8,71.36
30,2,0.4775,4.696,8.678,12.359,21.036,0.9,265.0,12.2,72.81
31,2,0.47436,11.132,9.099,8.789,17.888,1.5,209.0,16.1,59.47
32,2,0.35019,14.479,6.981,5.117,12.098,2.1,190.0,18.1,50.9
35,2,0.24995,17.038,3.21,3.027,6.237,1.5,163.0,17.9,49.7
36,2,0.27131,16.781,3.594,3.39,6.984,1.6,193.0,19.4,45.22
37,2,0.24654,15.44,3.559,3.2,6.758,2.4,168.0,19.7,46.57
38,2,0.33872,14.112,5.497,4.873,10.371,2.5,187.0,18.2,52.09
39,2,0.27132,13.88,3.502,3.731,7.233,2.4,180.0,16.9,53.26
40,2,0.29346,12.721,3.821,5.261,9.083,1.9,164.0,16.0,53.54
41,2,0.33135,11.671,2.88,6.466,9.346,1.3,157.0,14.9,57.92
42,2,0.47035,5.74,3.934,12.231,16.166,1.3,218.0,13.7,62.39
43,2,0.3582,9.283,2.105,9.512,11.618,1.5,235.0,13.5,63.59
44,2,0.30957,11.649,1.386,8.373,9.759,0.3,226.0,13.2,65.62
45,2,0.24525,16.885,0.529,5.954,6.484,1.4,254.0,13.1,66.85
46,2,0.23787,21.159,0.292,4.586,4.878,0.9,186.0,12.9,67.66
47,2,0.218,23.302,0.212,3.617,3.829,1.1,161.0,13.0,66.98
48,3,0.21699,24.838,0.136,1.872,2.008,1.6,191.0,12.5,69.97
49,3,0.24646,24.066,0.154,2.972,3.126,1.1,171.0,12.1,73.12
50,3,0.28244,28.504,0.181,2.479,2.66,2.1,206.0,11.5,74.7
51,3,0.25231,29.437,0.161,2.422,2.582,1.4,201.0,11.5,72.65
52,3,0.20596,29.08,0.133,2.85,2.983,0.9,264.0,11.5,71.89
53,3,0.23512,24.275,0.203,5.57,5.774,0.6,179.0,11.5,71.53
54,3,0.34992,22.178,1.271,9.331,10.603,1.6,194.0,11.8,67.16
55,3,1.02956,25.087,4.167,9.608,13.774,1.8,198.0,13.9,59.82
56,3,0.69024,24.511,7.886,8.787,16.673,2.3,173.0,15.8,55.05
57,3,1.3567,24.874,7.428,8.97,16.398,2.9,181.0,15.1,56.44
58,3,0.31237,24.083,3.741,6.982,10.723,2.4,172.0,14.4,57.41
59,3,0.61832,23.388,3.773,8.72,12.493,2.2,180.0,14.1,58.84
60,3,0.35277,23.99,3.162,5.423,8.585,2.4,174.0,14.7,57.73
61,3,0.32285,23.684,3.748,6.784,10.531,2.3,178.0,14.9,58.42
62,3,0.3265,23.108,4.102,7.045,11.146,1.8,175.0,15.4,56.49
63,3,0.45065,19.963,6.087,11.778,17.865,1.6,194.0,14.8,62.31
